event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-12T23:39:30Z,54667051292052,80,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-12T23:39:30Z,54667051292052,80,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-12T23:39:30Z,54667051292052,80,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:mem_used_pct,67.0458
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:mem_total_kb,65847776
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:mem_avail_kb,21699640
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:vm_rss_kb,3924
HW_SAMPLE,2026-04-12T23:39:30Z,54667051292052,80,init:vm_peak_kb,14716
MODULE_START,2026-04-12T23:39:30Z,54667051622812,80,btc_qm_engine,main_btc_mining
METRIC,2026-04-12T23:39:30Z,54667051643882,80,btc_qm_engine:btc_run_mode_hash,66.0000000000
METRIC,2026-04-12T23:39:30Z,54667051696102,80,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-12T23:39:30Z,54667051774002,80,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-12T23:39:30Z,54667051849702,80,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-12T23:39:30Z,54667051883702,80,btc_qm_engine:btc_nx48_delta_nonce_scale,2.1234580000
METRIC,2026-04-12T23:39:30Z,54667051914022,80,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-12T23:39:30Z,54667051944302,80,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-12T23:39:30Z,54667051974562,80,btc_qm_engine:btc_nx48_batch_size_scale,4.0000000000
METRIC,2026-04-12T23:39:30Z,54667052035542,80,btc_qm_engine:btc_nx48_exploration_bias,0.4297210000
METRIC,2026-04-12T23:39:30Z,54667052080682,80,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
