event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-12T23:38:45Z,191462599798087,68,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-12T23:38:45Z,191462599798087,68,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-12T23:38:45Z,191462599798087,68,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:mem_used_pct,76.3760
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:mem_total_kb,65847776
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:mem_avail_kb,15555892
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:vm_rss_kb,3896
HW_SAMPLE,2026-04-12T23:38:45Z,191462599798087,68,init:vm_peak_kb,14716
MODULE_START,2026-04-12T23:38:45Z,191462600029857,68,btc_qm_engine,main_btc_mining
METRIC,2026-04-12T23:38:45Z,191462600044017,68,btc_qm_engine:btc_run_mode_hash,66.0000000000
METRIC,2026-04-12T23:38:45Z,191462600585117,68,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-12T23:38:45Z,191462600663287,68,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462600708757,68,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462600728157,68,btc_qm_engine:btc_nx48_delta_nonce_scale,2.1234580000
METRIC,2026-04-12T23:38:45Z,191462600752247,68,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462600770757,68,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462600788927,68,btc_qm_engine:btc_nx48_batch_size_scale,4.0000000000
METRIC,2026-04-12T23:38:45Z,191462600810367,68,btc_qm_engine:btc_nx48_exploration_bias,0.4297210000
METRIC,2026-04-12T23:38:45Z,191462600848137,68,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462600880887,68,btc_qm_engine:btc_wallet_create_start,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603224437,68,btc_qm_engine:btc_wallet_created,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603261567,68,btc_qm_engine:btc_wallet_create_ns,2343370.0000000000
METRIC,2026-04-12T23:38:45Z,191462603282787,68,btc_qm_engine:btc_wallet_network,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603420617,68,btc_qm_engine:btc_wallet_saved_json,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603458407,68,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603479707,68,btc_qm_engine:btc_integrity_gate_pass,1.0000000000
MODULE_START,2026-04-12T23:38:45Z,191462603498797,68,btc_qm_engine,btc_engine_create
METRIC,2026-04-12T23:38:45Z,191462603506137,68,btc_qm_engine:btc_n_replicas,8.0000000000
METRIC,2026-04-12T23:38:45Z,191462603529167,68,btc_qm_engine:btc_n_threads,8.0000000000
METRIC,2026-04-12T23:38:45Z,191462603547727,68,btc_qm_engine:btc_batch_size,256.0000000000
METRIC,2026-04-12T23:38:45Z,191462603567097,68,btc_qm_engine:btc_nonce_start,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603585727,68,btc_qm_engine:btc_nonce_end,4294967295.0000000000
METRIC,2026-04-12T23:38:45Z,191462603604777,68,btc_qm_engine:btc_duration_s,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603623087,68,btc_qm_engine:btc_replica_idx,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603641377,68,btc_qm_engine:btc_replica_nonce,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603659707,68,btc_qm_engine:btc_replica_temp,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603677947,68,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603696357,68,btc_qm_engine:btc_replica_idx,1.0000000000
METRIC,2026-04-12T23:38:45Z,191462603714657,68,btc_qm_engine:btc_replica_nonce,536870911.0000000000
METRIC,2026-04-12T23:38:45Z,191462603733907,68,btc_qm_engine:btc_replica_temp,2.0000000000
METRIC,2026-04-12T23:38:45Z,191462603757387,68,btc_qm_engine:btc_replica_leading,0.0000000000
METRIC,2026-04-12T23:38:45Z,191462603775677,68,btc_qm_engine:btc_replica_idx,2.0000000000
METRIC,2026-04-12T23:38:45Z,191462603804307,68,btc_qm_engine:btc_replica_nonce,1073741822.0000000000
