event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-04-12T22:24:34Z,156438953757501,2738,activation,100PCT_INCONDITIONNELLE
INIT,2026-04-12T22:24:34Z,156438953757501,2738,modules_reels,ultra_forensic_logger_v3+memory_tracker
INIT,2026-04-12T22:24:34Z,156438953757501,2738,version,3.0_cycle17_NL03_NV01_NV02_AC01_NANO_ANOMALY_FIX_RAM01
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:cpu_delta_pct,0.0000
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:mem_used_pct,87.8015
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:mem_total_kb,65847772
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:mem_avail_kb,8032424
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:vm_rss_kb,3808
HW_SAMPLE,2026-04-12T22:24:34Z,156438953757501,2738,init:vm_peak_kb,14712
MODULE_START,2026-04-12T22:24:34Z,156438955346971,2738,btc_qm_engine,main_btc_mining
METRIC,2026-04-12T22:24:34Z,156438955470261,2738,btc_qm_engine:btc_run_mode_hash,66.0000000000
METRIC,2026-04-12T22:24:34Z,156438955798091,2738,btc_qm_engine:btc_module_version,17.0000000000
METRIC,2026-04-12T22:24:34Z,156438956424781,2738,btc_qm_engine:btc_nx48_csv_loaded,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438957013361,2738,btc_qm_engine:btc_nx48_init_loaded,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438957378291,2738,btc_qm_engine:btc_nx48_delta_nonce_scale,0.9500000000
METRIC,2026-04-12T22:24:34Z,156438957702971,2738,btc_qm_engine:btc_nx48_n_replicas_scale,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438958037681,2738,btc_qm_engine:btc_nx48_swap_temp_scale,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438958372431,2738,btc_qm_engine:btc_nx48_batch_size_scale,1.2155060000
METRIC,2026-04-12T22:24:34Z,156438958711411,2738,btc_qm_engine:btc_nx48_exploration_bias,0.4700000000
METRIC,2026-04-12T22:24:34Z,156438959395781,2738,btc_qm_engine:btc_sha256_self_test_pass,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438959812151,2738,btc_qm_engine:btc_wallet_create_start,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438963965181,2738,btc_qm_engine:btc_wallet_created,1.0000000000
METRIC,2026-04-12T22:24:34Z,156438964491531,2738,btc_qm_engine:btc_wallet_create_ns,4152830.0000000000
