timestamp_ns,total_ticks,tps_current,tps_avg,throughput,latency_min_ns,latency_med_ns,latency_max_ns,errors,cpu_percent,ram_percent
28433098554924,28000,269778,269778,269778089,1035,1451,135330,0,97.41,81.33
28433208888631,38000,91423,178261,178261302,1035,1448,1026075,0,100.00,81.42
28433328021492,54000,152967,169935,169935348,1035,1495,1026075,0,100.00,81.66
28433417941527,64000,95396,151446,151445655,1035,1526,1026075,0,100.00,81.91
28433523646664,85000,209847,162628,162627505,1035,1580,1026075,0,100.00,82.15
28433635815613,106000,193190,167889,167889417,1035,1606,1026075,0,100.00,82.69
28433739057942,117000,105601,159068,159068137,1035,1606,1026075,0,100.00,82.91
28433847328617,133000,142828,156922,156921604,1035,1606,1026075,0,100.00,83.23
28433955794544,175000,411564,184287,184286819,1035,1606,1026075,0,100.00,83.04
28434058166141,199000,220691,188027,188027433,1035,1606,1026075,0,100.00,83.45
28434167799756,238000,351434,203535,203535316,1035,1606,1026075,0,100.00,83.64
28434269847181,277000,379867,217768,217767698,1035,1606,1026075,0,100.00,83.74
28434375833027,300000,226413,218407,218407090,1035,1606,1026075,0,100.00,83.57
28434475050223,314000,137234,212795,212795157,1035,1606,1026075,0,100.00,83.55
28434583661796,327000,120911,206555,206554900,1035,1606,1026075,0,100.00,83.26
28434685571198,342000,146832,202935,202934666,1035,1606,1026075,0,100.00,83.35
28434800352183,362000,170964,200859,200859469,1035,1606,1026075,0,100.00,83.58
28434899880988,393000,304706,206408,206408373,1035,1606,1026075,0,100.00,83.97
28435026829490,434000,373208,215508,215507524,1035,1606,1026075,0,100.00,84.38
28435128279498,442000,73500,208226,208225978,1035,1606,1026075,0,100.00,84.40
28435229197614,458000,152323,205590,205590092,1035,1606,1026075,0,100.00,84.61
28435343802000,478000,195497,205147,205146959,1035,1606,1026075,0,100.00,84.68
28435440378878,490000,115781,201341,201341086,1035,1606,1026075,0,98.81,85.22
28435541479714,496000,58582,195576,195575768,1035,1606,1026075,0,100.00,85.41
28435649677242,505000,89477,191528,191528294,1035,1606,1026075,0,100.00,85.40
28435777906490,512000,59244,185855,185854649,1035,1606,1026075,0,100.00,85.06
28435852269437,524000,118995,183494,183493567,1035,1606,1026075,0,100.00,85.00
28435965186140,547000,229629,185057,185056912,1035,1606,1026075,0,100.00,85.05
28436055660845,572000,243209,187011,187011234,1035,1606,1026075,0,100.00,85.37
