23375 ioctl(6, DRM_IOCTL_I915_GEM_MMAP_OFFSET, 0x7ffee2f87b50) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_EXECBUFFER2, 0x7ffee2f87cc0) = 0
23389 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7327b5dfedc0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d700) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d6f0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d650) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d640) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d4b0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d4a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d4b0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d4a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d4b0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d4a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d4b0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d4a0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_DESTROY, 0x7ffee2f8d640) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d5e0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d5d0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_CONTEXT_DESTROY, 0x7ffee2f8d640) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d710) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffee2f8d6f0) = 0
23375 ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffee2f8d6e0) = 0
23375 ioctl(6, DRM_IOCTL_I915_GEM_VM_DESTROY, 0x7ffee2f8d710) = 0
