--- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=605303, si_uid=1000, si_status=0, si_utime=0, si_stime=1 /* 0.01 s */} ---
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61bef0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61be50) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61be40) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d140) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d130) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d140) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d130) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d140) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d130) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d140) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d130) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d270) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d260) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d270) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d260) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7fff1c61d270) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7fff1c61d260) = 0
