--- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=22395, si_uid=1000, si_status=0, si_utime=0, si_stime=0} ---
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14aa80) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14aa70) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14ab30) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14ab20) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b880) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b870) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b880) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b870) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b880) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b870) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b880) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b870) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b9b0) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b9a0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b9b0) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b9a0) = 0
ioctl(6, DRM_IOCTL_I915_GEM_WAIT or DRM_IOCTL_RADEON_GEM_OP, 0x7ffdcc14b9b0) = 0
ioctl(6, DRM_IOCTL_GEM_CLOSE, 0x7ffdcc14b9a0) = 0
