=== C398 SHA256 Minimal Test ===

Device: Intel(R) UHD Graphics 620
Kernel source: 5366 bytes
Building kernel...
Build successful!
Binary size: 63392 bytes
Binary saved to kernels/btc_sha256_c398.bin

Executing kernel with 256 threads...

Results:
  Thread 164: nonce=164 leading_zeros=1 result=0x000100A4
  Thread 167: nonce=167 leading_zeros=1 result=0x000100A7
  Thread 169: nonce=169 leading_zeros=1 result=0x000100A9
  Thread 170: nonce=170 leading_zeros=1 result=0x000100AA
  Thread 171: nonce=171 leading_zeros=1 result=0x000100AB
  Thread 176: nonce=176 leading_zeros=2 result=0x000200B0
  Thread 177: nonce=177 leading_zeros=1 result=0x000100B1
  Thread 181: nonce=181 leading_zeros=2 result=0x000200B5
  Thread 184: nonce=184 leading_zeros=3 result=0x000300B8
  Thread 185: nonce=185 leading_zeros=1 result=0x000100B9
  Thread 186: nonce=186 leading_zeros=1 result=0x000100BA
  Thread 188: nonce=188 leading_zeros=2 result=0x000200BC
  Thread 189: nonce=189 leading_zeros=1 result=0x000100BD
  Thread 190: nonce=190 leading_zeros=1 result=0x000100BE
  Thread 192: nonce=192 leading_zeros=1 result=0x000100C0
  Thread 194: nonce=194 leading_zeros=3 result=0x000300C2
  Thread 198: nonce=198 leading_zeros=6 result=0x000600C6
  Thread 199: nonce=199 leading_zeros=2 result=0x000200C7
  Thread 200: nonce=200 leading_zeros=3 result=0x000300C8
  Thread 202: nonce=202 leading_zeros=1 result=0x000100CA
  Thread 203: nonce=203 leading_zeros=1 result=0x000100CB
  Thread 207: nonce=207 leading_zeros=1 result=0x000100CF
  Thread 208: nonce=208 leading_zeros=1 result=0x000100D0
  Thread 209: nonce=209 leading_zeros=2 result=0x000200D1
  Thread 210: nonce=210 leading_zeros=1 result=0x000100D2
  Thread 213: nonce=213 leading_zeros=1 result=0x000100D5
  Thread 214: nonce=214 leading_zeros=2 result=0x000200D6
  Thread 215: nonce=215 leading_zeros=1 result=0x000100D7
  Thread 216: nonce=216 leading_zeros=5 result=0x000500D8
  Thread 218: nonce=218 leading_zeros=6 result=0x000600DA
  Thread 224: nonce=224 leading_zeros=1 result=0x000100E0
  Thread 226: nonce=226 leading_zeros=1 result=0x000100E2
  Thread 227: nonce=227 leading_zeros=1 result=0x000100E3
  Thread 228: nonce=228 leading_zeros=1 result=0x000100E4
  Thread 230: nonce=230 leading_zeros=2 result=0x000200E6
  Thread 231: nonce=231 leading_zeros=6 result=0x000600E7
  Thread 233: nonce=233 leading_zeros=1 result=0x000100E9
  Thread 235: nonce=235 leading_zeros=1 result=0x000100EB
  Thread 237: nonce=237 leading_zeros=1 result=0x000100ED
  Thread 241: nonce=241 leading_zeros=2 result=0x000200F1
  Thread 242: nonce=242 leading_zeros=3 result=0x000300F2
  Thread 245: nonce=245 leading_zeros=1 result=0x000100F5
  Thread 246: nonce=246 leading_zeros=2 result=0x000200F6
  Thread 247: nonce=247 leading_zeros=2 result=0x000200F7
  Thread 250: nonce=250 leading_zeros=4 result=0x000400FA
  Thread 251: nonce=251 leading_zeros=1 result=0x000100FB
  Thread 252: nonce=252 leading_zeros=1 result=0x000100FC
