# tracer: nop
#
# entries-in-buffer/entries-written: 6493/6493   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u33:1-57411   [003] d.... 11183.225761: i915_reg_rw: write reg=0x70180, len=4, val=(0xc2042400, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225762: i915_reg_rw: write reg=0x7019c, len=4, val=(0x3300000, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225764: intel_scaler_disable_arm: dev 0000:00:02.0, pipe A, scaler 0, frame=671564, scanline=857
   kworker/u33:1-57411   [003] d..2. 11183.225764: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225764: i915_reg_rw: read reg=0x70000, len=4, val=(0x358, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225765: i915_reg_rw: write reg=0x68180, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225765: i915_reg_rw: write reg=0x68170, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225766: i915_reg_rw: write reg=0x68174, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225766: intel_scaler_disable_arm: dev 0000:00:02.0, pipe A, scaler 1, frame=671564, scanline=857
   kworker/u33:1-57411   [003] d..2. 11183.225766: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225767: i915_reg_rw: read reg=0x70000, len=4, val=(0x358, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225767: i915_reg_rw: write reg=0x68280, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225768: i915_reg_rw: write reg=0x68270, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225768: i915_reg_rw: write reg=0x68274, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [003] d..1. 11183.225769: i915_reg_rw: read reg=0x70000, len=4, val=(0x359, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225769: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d.... 11183.225770: intel_pipe_update_end: dev 0000:00:02.0, pipe A, frame=671564, scanline=858
   kworker/u33:1-57411   [003] d..2. 11183.225771: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
   kworker/u33:1-57411   [003] d..3. 11183.225773: i915_reg_rw: read reg=0x70000, len=4, val=(0x359, 0x0)
   kworker/u33:1-57411   [003] d..2. 11183.225773: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4c, 0x0)
     ksoftirqd/7-60      [007] d.H2. 11183.228461: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
     kworker/7:0-83001   [007] ..... 11183.228645: i915_request_retire: dev=1, engine=0:0, ctx=5, seqno=714740, tail=2720
     kworker/7:0-83001   [007] d.h3. 11183.228648: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
     kworker/7:0-83001   [007] ..... 11183.228670: i915_reg_rw: read reg=0x8504, len=4, val=(0xfc004c3, 0x0)
          bobide-73658   [007] d.h.. 11183.229039: i915_reg_rw: read reg=0x44408, len=4, val=(0x1, 0x0)
          bobide-73658   [007] d.h.. 11183.229040: i915_reg_rw: write reg=0x44408, len=4, val=(0x1, 0x0)
