problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,2000,0.0101642212,0.7548896896,0.2755102041,16.65,65.61,1676619699
hubbard_hts_core,5000,0.0101642982,0.7515819038,0.3265306122,24.54,64.70,4247491457
hubbard_hts_core,10000,0.0101643002,0.7516513259,0.2959183673,19.68,64.62,8425953208
hubbard_hts_core,14000,0.0101642979,0.7515263924,0.3061224490,18.52,64.49,11764281444
qcd_lattice_fullscale,2000,0.0155126117,0.6252376502,-0.0555555556,17.20,64.49,1670687192
qcd_lattice_fullscale,5000,0.0155130412,0.6144125919,-0.1944444444,17.53,64.48,4179079085
qcd_lattice_fullscale,10000,0.0155130360,0.6146907354,-0.1666666667,19.56,64.45,8385804729
qcd_lattice_fullscale,11000,0.0155130391,0.6147326091,-0.1944444444,26.76,65.43,9341220340
quantum_field_noneq,2000,0.0132120541,0.5398611018,-0.1515151515,33.13,65.55,1707873282
quantum_field_noneq,5000,0.0132127572,0.5332960611,-0.2878787879,21.94,65.52,4220182017
quantum_field_noneq,10000,0.0132135854,0.5149702967,-0.5000000000,21.11,65.44,8414932207
quantum_field_noneq,10500,0.0132135854,0.5149650114,-0.5000000000,20.69,64.45,8798800137
dense_nuclear_fullscale,2000,0.0206658275,0.7510809733,-0.1060606061,17.71,64.44,1670215115
dense_nuclear_fullscale,5000,0.0206668400,0.7466964431,0.0151515152,20.11,64.45,4186459392
dense_nuclear_fullscale,10000,0.0206669348,0.7466168036,0.0151515152,18.85,64.40,8349232987
dense_nuclear_fullscale,10500,0.0206669348,0.7464287399,0.0303030303,18.54,64.37,8793148685
quantum_chemistry_fullscale,2000,0.0135264423,0.8079023375,0.2166666667,18.30,64.40,1671602936
quantum_chemistry_fullscale,5000,0.0135277008,0.7990152620,0.0333333333,17.64,64.41,4187605396
quantum_chemistry_fullscale,10000,0.0135276938,0.7989765345,0.0333333333,21.86,64.59,8415874522
quantum_chemistry_fullscale,11000,0.0135276926,0.7991069355,0.0500000000,27.38,65.47,9291157798
spin_liquid_exotic,2000,0.0116668662,0.8598769004,-0.0446428571,16.35,65.47,1679809107
spin_liquid_exotic,5000,0.0116670502,0.8575807381,-0.0803571429,18.05,65.46,4215506759
spin_liquid_exotic,10000,0.0116671650,0.8561176980,-0.0982142857,19.35,64.52,8459337098
spin_liquid_exotic,13000,0.0116671862,0.8551911917,-0.1071428571,30.05,65.62,11171639968
topological_correlated_materials,2000,0.0086403383,0.8259556362,-0.2088888889,36.17,66.15,1723903548
