seq,ts_ns,module,key,value
2009600,16496919611681,btc_qm_engine,btc_sha256_elapsed_ns,2610.0000000000
2009601,16496919613841,btc_qm_engine,btc_sha256_nonce,2117356669.0000000000
2009602,16496919613891,btc_qm_engine,btc_leading_zeros,1.0000000000
2009603,16496919613941,btc_qm_engine,btc_sha256_elapsed_ns,2520.0000000000
2009604,16496919614511,btc_qm_engine,btc_sha256_nonce,1145130730.0000000000
2009605,16496919614561,btc_qm_engine,btc_leading_zeros,0.0000000000
2009606,16496919614611,btc_qm_engine,btc_sha256_elapsed_ns,2610.0000000000
2009607,16496919616701,btc_qm_engine,btc_sha256_nonce,386186569.0000000000
2009608,16496919616751,btc_qm_engine,btc_leading_zeros,2.0000000000
2009609,16496919616811,btc_qm_engine,btc_sha256_elapsed_ns,2540.0000000000
2009610,16496919617421,btc_qm_engine,btc_sha256_nonce,1397789180.0000000000
2009611,16496919617481,btc_qm_engine,btc_leading_zeros,2.0000000000
2009612,16496919617531,btc_qm_engine,btc_sha256_elapsed_ns,2580.0000000000
2009613,16496919619521,btc_qm_engine,btc_sha256_nonce,3539218736.0000000000
2009614,16496919619581,btc_qm_engine,btc_leading_zeros,0.0000000000
2009615,16496919619631,btc_qm_engine,btc_sha256_elapsed_ns,2560.0000000000
2009616,16496919620341,btc_qm_engine,btc_sha256_nonce,1145131401.0000000000
2009617,16496919620391,btc_qm_engine,btc_leading_zeros,1.0000000000
2009618,16496919620441,btc_qm_engine,btc_sha256_elapsed_ns,2560.0000000000
2009619,16496919622371,btc_qm_engine,btc_sha256_nonce,386141295.0000000000
2009620,16496919622421,btc_qm_engine,btc_leading_zeros,1.0000000000
2009621,16496919622471,btc_qm_engine,btc_sha256_elapsed_ns,2580.0000000000
2009622,16496919623311,btc_qm_engine,btc_sha256_nonce,2539832589.0000000000
2009623,16496919623361,btc_qm_engine,btc_leading_zeros,2.0000000000
2009624,16496919623421,btc_qm_engine,btc_sha256_elapsed_ns,2640.0000000000
2009625,16496919625241,btc_qm_engine,btc_sha256_nonce,386136247.0000000000
2009626,16496919625291,btc_qm_engine,btc_leading_zeros,0.0000000000
2009627,16496919625341,btc_qm_engine,btc_sha256_elapsed_ns,2580.0000000000
2009628,16496919626261,btc_qm_engine,btc_sha256_nonce,1145121225.0000000000
2009629,16496919626311,btc_qm_engine,btc_leading_zeros,0.0000000000
2009630,16496919626371,btc_qm_engine,btc_sha256_elapsed_ns,2630.0000000000
2009631,16496919628161,btc_qm_engine,btc_sha256_nonce,386153411.0000000000
2009632,16496919628211,btc_qm_engine,btc_leading_zeros,0.0000000000
2009633,16496919628261,btc_qm_engine,btc_sha256_elapsed_ns,2630.0000000000
2009634,16496919629161,btc_qm_engine,btc_sha256_nonce,1145123070.0000000000
2009635,16496919629221,btc_qm_engine,btc_leading_zeros,2.0000000000
2009636,16496919629271,btc_qm_engine,btc_sha256_elapsed_ns,2600.0000000000
2009637,16496919631051,btc_qm_engine,btc_sha256_nonce,386185774.0000000000
2009638,16496919631101,btc_qm_engine,btc_leading_zeros,0.0000000000
2009639,16496919631151,btc_qm_engine,btc_sha256_elapsed_ns,2610.0000000000
2009640,16496919632001,btc_qm_engine,btc_sha256_nonce,1145102699.0000000000
2009641,16496919632061,btc_qm_engine,btc_leading_zeros,0.0000000000
2009642,16496919632111,btc_qm_engine,btc_sha256_elapsed_ns,2540.0000000000
2009643,16496919633901,btc_qm_engine,btc_sha256_nonce,386184162.0000000000
2009644,16496919633951,btc_qm_engine,btc_leading_zeros,1.0000000000
2009645,16496919634001,btc_qm_engine,btc_sha256_elapsed_ns,2560.0000000000
2009646,16496919634851,btc_qm_engine,btc_sha256_nonce,1145139260.0000000000
2009647,16496919634901,btc_qm_engine,btc_leading_zeros,1.0000000000
2009648,16496919634961,btc_qm_engine,btc_sha256_elapsed_ns,2570.0000000000
2009649,16496919637601,btc_qm_engine,btc_sha256_nonce,486159884.0000000000
2009650,16496919637641,btc_qm_engine,btc_leading_zeros,4.0000000000
2009651,16496919637681,btc_qm_engine,btc_sha256_elapsed_ns,2490.0000000000
2009652,16496919639991,btc_qm_engine,btc_sha256_nonce,3029272290.0000000000
2009653,16496919640031,btc_qm_engine,btc_leading_zeros,0.0000000000
2009654,16496919640071,btc_qm_engine,btc_sha256_elapsed_ns,2160.0000000000
2009655,16496919641861,btc_qm_engine,btc_sha256_nonce,2052775797.0000000000
2009656,16496919641921,btc_qm_engine,btc_leading_zeros,0.0000000000
2009657,16496919641971,btc_qm_engine,btc_sha256_elapsed_ns,7640.0000000000
2009658,16496919642441,btc_qm_engine,btc_sha256_nonce,1433292911.0000000000
2009659,16496919642501,btc_qm_engine,btc_leading_zeros,1.0000000000
2009660,16496919642551,btc_qm_engine,btc_sha256_elapsed_ns,2170.0000000000
2009661,16496919644801,btc_qm_engine,btc_sha256_nonce,1008490340.0000000000
2009662,16496919644851,btc_qm_engine,btc_leading_zeros,0.0000000000
2009663,16496919644901,btc_qm_engine,btc_sha256_elapsed_ns,2620.0000000000
2009664,16496919645261,btc_qm_engine,btc_sha256_nonce,3701592609.0000000000
2009665,16496919645311,btc_qm_engine,btc_leading_zeros,2.0000000000
2009666,16496919645371,btc_qm_engine,btc_sha256_elapsed_ns,2520.0000000000
2009667,16496919647671,btc_qm_engine,btc_sha256_nonce,1987040807.0000000000
2009668,16496919647731,btc_qm_engine,btc_leading_zeros,2.0000000000
2009669,16496919647781,btc_qm_engine,btc_sha256_elapsed_ns,2580.0000000000
