seq,ts_ns,module,key,value
543605,13604516010419,btc_qm_engine,btc_sha256_nonce,766474112.0000000000
543606,13604516010518,btc_qm_engine,btc_leading_zeros,1.0000000000
543607,13604516010592,btc_qm_engine,btc_sha256_elapsed_ns,1076.0000000000
543608,13604516010752,btc_qm_engine,btc_sha256_nonce,78233111.0000000000
543609,13604516010823,btc_qm_engine,btc_leading_zeros,0.0000000000
543610,13604516011058,btc_qm_engine,btc_sha256_nonce,3078293379.0000000000
543611,13604516011136,btc_qm_engine,btc_leading_zeros,0.0000000000
543612,13604516011211,btc_qm_engine,btc_sha256_elapsed_ns,1107.0000000000
543613,13604516011364,btc_qm_engine,btc_sha256_nonce,3512450916.0000000000
543614,13604516011742,btc_qm_engine,btc_leading_zeros,3.0000000000
543615,13604516011957,btc_qm_engine,btc_leading_zeros,0.0000000000
543616,13604516012214,btc_qm_engine,btc_sha256_elapsed_ns,1130.0000000000
543617,13604516012362,btc_qm_engine,btc_sha256_elapsed_ns,932.0000000000
543618,13604516013112,btc_qm_engine,btc_sha256_nonce,3714695673.0000000000
543619,13604516013191,btc_qm_engine,btc_leading_zeros,0.0000000000
543620,13604516013260,btc_qm_engine,btc_sha256_elapsed_ns,963.0000000000
543621,13604516013641,btc_qm_engine,btc_sha256_nonce,1868068218.0000000000
543622,13604516013770,btc_qm_engine,btc_sha256_nonce,268873821.0000000000
543623,13604516014108,btc_qm_engine,btc_sha256_nonce,1763082506.0000000000
543624,13604516014345,btc_qm_engine,btc_leading_zeros,0.0000000000
543625,13604516014547,btc_qm_engine,btc_sha256_nonce,1139659298.0000000000
543626,13604516014628,btc_qm_engine,btc_leading_zeros,0.0000000000
543627,13604516014697,btc_qm_engine,btc_sha256_elapsed_ns,1027.0000000000
543628,13604516015016,btc_qm_engine,btc_leading_zeros,0.0000000000
543629,13604516015211,btc_qm_engine,btc_sha256_elapsed_ns,1126.0000000000
543630,13604516015773,btc_qm_engine,btc_sha256_elapsed_ns,1088.0000000000
543631,13604516015967,btc_qm_engine,btc_sha256_nonce,3284331780.0000000000
543632,13604516016429,btc_qm_engine,btc_leading_zeros,1.0000000000
543633,13604516016516,btc_qm_engine,btc_sha256_elapsed_ns,925.0000000000
543634,13604516016778,btc_qm_engine,btc_leading_zeros,0.0000000000
543635,13604516017139,btc_qm_engine,btc_sha256_elapsed_ns,893.0000000000
543636,13604516017198,btc_qm_engine,btc_sha256_nonce,1830379244.0000000000
543637,13604516017547,btc_qm_engine,btc_leading_zeros,0.0000000000
543638,13604516017623,btc_qm_engine,btc_sha256_elapsed_ns,863.0000000000
543639,13604516017859,btc_qm_engine,btc_sha256_nonce,60873485.0000000000
543640,13604516017942,btc_qm_engine,btc_leading_zeros,1.0000000000
543641,13604516018023,btc_qm_engine,btc_sha256_elapsed_ns,1077.0000000000
543642,13604516018559,btc_qm_engine,btc_sha256_nonce,1762758073.0000000000
543643,13604516018636,btc_qm_engine,btc_leading_zeros,2.0000000000
543644,13604516018708,btc_qm_engine,btc_sha256_elapsed_ns,1122.0000000000
543645,13604516018944,btc_qm_engine,btc_sha256_nonce,3838801343.0000000000
543646,13604516019020,btc_qm_engine,btc_leading_zeros,4.0000000000
543647,13604516019096,btc_qm_engine,btc_sha256_elapsed_ns,1102.0000000000
543648,13604516019379,btc_qm_engine,btc_sha256_nonce,910813896.0000000000
543649,13604516019468,btc_qm_engine,btc_leading_zeros,4.0000000000
543650,13604516019670,btc_qm_engine,btc_sha256_nonce,2249848116.0000000000
543651,13604516019750,btc_qm_engine,btc_leading_zeros,1.0000000000
543652,13604516019812,btc_qm_engine,btc_sha256_elapsed_ns,1085.0000000000
543653,13604516020041,btc_qm_engine,btc_leading_zeros,1.0000000000
543654,13604516020268,btc_qm_engine,btc_sha256_elapsed_ns,1084.0000000000
543655,13604516020402,btc_qm_engine,btc_sha256_nonce,383994205.0000000000
543656,13604516020547,btc_qm_engine,btc_sha256_elapsed_ns,735.0000000000
543657,13604516020721,btc_qm_engine,btc_leading_zeros,4.0000000000
543658,13604516020813,btc_qm_engine,btc_sha256_nonce,3714264895.0000000000
543659,13604516021161,btc_qm_engine,btc_sha256_elapsed_ns,1112.0000000000
