seq,ts_ns,module,key,value
493196,14696516353955,btc_qm_engine,btc_sha256_nonce,4061090412.0000000000
493197,14696516354174,btc_qm_engine,btc_sha256_nonce,413370347.0000000000
493198,14696516354433,btc_qm_engine,btc_sha256_nonce,1053150203.0000000000
493199,14696516354567,btc_qm_engine,btc_leading_zeros,3.0000000000
493200,14696516354642,btc_qm_engine,btc_sha256_elapsed_ns,1072.0000000000
493201,14696516354875,btc_qm_engine,btc_leading_zeros,4.0000000000
493202,14696516354986,btc_qm_engine,btc_sha256_elapsed_ns,989.0000000000
493203,14696516355363,btc_qm_engine,btc_sha256_nonce,423649364.0000000000
493204,14696516355656,btc_qm_engine,btc_sha256_nonce,2378059573.0000000000
493205,14696516355812,btc_qm_engine,btc_leading_zeros,0.0000000000
493206,14696516355883,btc_qm_engine,btc_sha256_elapsed_ns,1097.0000000000
493207,14696516356146,btc_qm_engine,btc_leading_zeros,0.0000000000
493208,14696516356406,btc_qm_engine,btc_sha256_elapsed_ns,903.0000000000
493209,14696516356621,btc_qm_engine,btc_sha256_nonce,741486097.0000000000
493210,14696516356994,btc_qm_engine,btc_leading_zeros,0.0000000000
493211,14696516357184,btc_qm_engine,btc_leading_zeros,1.0000000000
493212,14696516357362,btc_qm_engine,btc_sha256_nonce,2405236863.0000000000
493213,14696516357443,btc_qm_engine,btc_leading_zeros,2.0000000000
493214,14696516357511,btc_qm_engine,btc_sha256_elapsed_ns,1097.0000000000
493215,14696516357718,btc_qm_engine,btc_sha256_nonce,1286506646.0000000000
493216,14696516358287,btc_qm_engine,btc_leading_zeros,1.0000000000
493217,14696516358354,btc_qm_engine,btc_sha256_elapsed_ns,968.0000000000
493218,14696516358913,btc_qm_engine,btc_sha256_nonce,2731814644.0000000000
493219,14696516358997,btc_qm_engine,btc_leading_zeros,1.0000000000
493220,14696516359064,btc_qm_engine,btc_sha256_elapsed_ns,1072.0000000000
493221,14696516359305,btc_qm_engine,btc_sha256_nonce,3208561575.0000000000
493222,14696516359382,btc_qm_engine,btc_leading_zeros,1.0000000000
493223,14696516359440,btc_qm_engine,btc_sha256_elapsed_ns,738.0000000000
493224,14696516359719,btc_qm_engine,btc_sha256_elapsed_ns,970.0000000000
493225,14696516359958,btc_qm_engine,btc_sha256_elapsed_ns,972.0000000000
493226,14696516360269,btc_qm_engine,btc_sha256_elapsed_ns,1089.0000000000
493227,14696516360399,btc_qm_engine,btc_sha256_nonce,87645342.0000000000
493228,14696516360483,btc_qm_engine,btc_leading_zeros,0.0000000000
493229,14696516360540,btc_qm_engine,btc_sha256_elapsed_ns,1088.0000000000
493230,14696516360697,btc_qm_engine,btc_sha256_nonce,621266575.0000000000
493231,14696516360773,btc_qm_engine,btc_leading_zeros,0.0000000000
493232,14696516360842,btc_qm_engine,btc_sha256_elapsed_ns,1014.0000000000
493233,14696516361266,btc_qm_engine,btc_sha256_nonce,3300777872.0000000000
493234,14696516361343,btc_qm_engine,btc_leading_zeros,1.0000000000
493235,14696516361416,btc_qm_engine,btc_sha256_elapsed_ns,1094.0000000000
493236,14696516361612,btc_qm_engine,btc_sha256_nonce,2983924284.0000000000
493237,14696516361914,btc_qm_engine,btc_sha256_nonce,4055454262.0000000000
493238,14696516362190,btc_qm_engine,btc_sha256_nonce,2929109335.0000000000
493239,14696516362269,btc_qm_engine,btc_leading_zeros,1.0000000000
493240,14696516362339,btc_qm_engine,btc_sha256_elapsed_ns,1086.0000000000
493241,14696516362549,btc_qm_engine,btc_leading_zeros,2.0000000000
493242,14696516362633,btc_qm_engine,btc_sha256_nonce,20935478.0000000000
493243,14696516362818,btc_qm_engine,btc_leading_zeros,1.0000000000
493244,14696516362988,btc_qm_engine,btc_leading_zeros,0.0000000000
493245,14696516363333,btc_qm_engine,btc_sha256_nonce,2462474941.0000000000
493246,14696516363668,btc_qm_engine,btc_sha256_nonce,118628037.0000000000
493247,14696516363776,btc_qm_engine,btc_leading_zeros,0.0000000000
493248,14696516363828,btc_qm_engine,btc_sha256_elapsed_ns,1008.0000000000
493249,14696516364091,btc_qm_engine,btc_sha256_elapsed_ns,1119.0000000000
493250,14696516364201,btc_qm_engine,btc_sha256_elapsed_ns,1134.0000000000
493251,14696516364451,btc_qm_engine,btc_leading_zeros,0.0000000000
493252,14696516364533,btc_qm_engine,btc_sha256_elapsed_ns,998.0000000000
493253,14696516364788,btc_qm_engine,btc_sha256_nonce,1579343543.0000000000
493254,14696516365007,btc_qm_engine,btc_sha256_nonce,566342724.0000000000
493255,14696516365079,btc_qm_engine,btc_leading_zeros,0.0000000000
493256,14696516365162,btc_qm_engine,btc_leading_zeros,3.0000000000
493257,14696516365478,btc_qm_engine,btc_sha256_nonce,21128816.0000000000
493258,14696516365691,btc_qm_engine,btc_sha256_elapsed_ns,1090.0000000000
493259,14696516365905,btc_qm_engine,btc_sha256_nonce,1932990202.0000000000
493260,14696516366099,btc_qm_engine,btc_leading_zeros,4.0000000000
493261,14696516366495,btc_qm_engine,btc_sha256_elapsed_ns,972.0000000000
493262,14696516366799,btc_qm_engine,btc_sha256_nonce,1215199822.0000000000
493263,14696516367268,btc_qm_engine,btc_sha256_nonce,2576695029.0000000000
493264,14696516367479,btc_qm_engine,btc_leading_zeros,0.0000000000
493265,14696516367707,btc_qm_engine,btc_sha256_nonce,3802559060.0000000000
493266,14696516368256,btc_qm_engine,btc_leading_zeros,0.0000000000
493267,14696516368473,btc_qm_engine,btc_leading_zeros,4.0000000000
493268,14696516368718,btc_qm_engine,btc_sha256_elapsed_ns,1020.0000000000
493269,14696516368846,btc_qm_engine,btc_sha256_nonce,2513556064.0000000000
493270,14696516368988,btc_qm_engine,btc_sha256_elapsed_ns,1096.0000000000
493271,14696516369221,btc_qm_engine,btc_leading_zeros,0.0000000000
493272,14696516369293,btc_qm_engine,btc_sha256_elapsed_ns,851.0000000000
493273,14696516369618,btc_qm_engine,btc_leading_zeros,0.0000000000
493274,14696516369699,btc_qm_engine,btc_sha256_elapsed_ns,1042.0000000000
493275,14696516370094,btc_qm_engine,btc_sha256_nonce,1179149914.0000000000
493276,14696516370177,btc_qm_engine,btc_leading_zeros,0.0000000000
493277,14696516370385,btc_qm_engine,btc_sha256_elapsed_ns,1102.0000000000
493278,14696516370660,btc_qm_engine,btc_sha256_nonce,118783746.0000000000
493279,14696516370975,btc_qm_engine,btc_sha256_nonce,1725446299.0000000000
493280,14696516371055,btc_qm_engine,btc_leading_zeros,0.0000000000
493281,14696516371121,btc_qm_engine,btc_sha256_elapsed_ns,1016.0000000000
493282,14696516372030,btc_qm_engine,btc_sha256_nonce,3986576216.0000000000
493283,14696516372532,btc_qm_engine,btc_sha256_nonce,1592028741.0000000000
493284,14696516372932,btc_qm_engine,btc_sha256_elapsed_ns,1108.0000000000
493285,14696516373455,btc_qm_engine,btc_leading_zeros,1.0000000000
493286,14696516373961,btc_qm_engine,btc_sha256_nonce,1393605942.0000000000
493287,14696516374164,btc_qm_engine,btc_sha256_elapsed_ns,874.0000000000
493288,14696516374446,btc_qm_engine,btc_leading_zeros,4.0000000000
493289,14696516374570,btc_qm_engine,btc_sha256_elapsed_ns,1040.0000000000
493290,14696516374924,btc_qm_engine,btc_sha256_nonce,2071095806.0000000000
493291,14696516375469,btc_qm_engine,btc_sha256_elapsed_ns,746.0000000000
493292,14696516375628,btc_qm_engine,btc_leading_zeros,0.0000000000
493293,14696516375716,btc_qm_engine,btc_sha256_elapsed_ns,1100.0000000000
493294,14696516375899,btc_qm_engine,btc_sha256_nonce,1580212707.0000000000
493295,14696516376282,btc_qm_engine,btc_sha256_elapsed_ns,1094.0000000000
493296,14696516382313,btc_qm_engine,btc_sha256_nonce,3151563085.0000000000
493297,14696516382367,btc_qm_engine,btc_leading_zeros,0.0000000000
493298,14696516382415,btc_qm_engine,btc_sha256_elapsed_ns,615.0000000000
493299,14696516383139,btc_qm_engine,btc_sha256_nonce,26433871.0000000000
493300,14696516383187,btc_qm_engine,btc_leading_zeros,1.0000000000
493301,14696516383239,btc_qm_engine,btc_sha256_elapsed_ns,590.0000000000
493302,14696516383946,btc_qm_engine,btc_sha256_nonce,3556486383.0000000000
493303,14696516384290,btc_qm_engine,btc_sha256_nonce,3020114149.0000000000
493304,14696516384883,btc_qm_engine,btc_leading_zeros,0.0000000000
493305,14696516385549,btc_qm_engine,btc_leading_zeros,0.0000000000
493306,14696516385759,btc_qm_engine,btc_sha256_elapsed_ns,1086.0000000000
493307,14696516386447,btc_qm_engine,btc_sha256_elapsed_ns,593.0000000000
493308,14696516387212,btc_qm_engine,btc_sha256_nonce,4039364854.0000000000
493309,14696516387822,btc_qm_engine,btc_sha256_nonce,3705864602.0000000000
493310,14696516387905,btc_qm_engine,btc_leading_zeros,3.0000000000
