seq,ts_ns,module,key,value
1325654,11988952200533,btc_qm_engine,btc_sha256_nonce,1129232549.0000000000
1325655,11988952200784,btc_qm_engine,btc_leading_zeros,0.0000000000
1325656,11988952201350,btc_qm_engine,btc_sha256_elapsed_ns,1010.0000000000
1325657,11988952201786,btc_qm_engine,btc_sha256_nonce,3285427037.0000000000
1325658,11988952201968,btc_qm_engine,btc_sha256_nonce,2937432914.0000000000
1325659,11988952202107,btc_qm_engine,btc_sha256_elapsed_ns,1035.0000000000
1325660,11988952202337,btc_qm_engine,btc_leading_zeros,0.0000000000
1325661,11988952202406,btc_qm_engine,btc_sha256_elapsed_ns,1056.0000000000
1325662,11988952202681,btc_qm_engine,btc_leading_zeros,0.0000000000
1325663,11988952203062,btc_qm_engine,btc_sha256_elapsed_ns,1082.0000000000
1325664,11988952203265,btc_qm_engine,btc_leading_zeros,2.0000000000
1325665,11988952203461,btc_qm_engine,btc_leading_zeros,1.0000000000
1325666,11988952203723,btc_qm_engine,btc_sha256_elapsed_ns,1088.0000000000
1325667,11988952204010,btc_qm_engine,btc_sha256_nonce,612121381.0000000000
1325668,11988952204158,btc_qm_engine,btc_sha256_nonce,3939393871.0000000000
1325669,11988952204321,btc_qm_engine,btc_sha256_nonce,3241150333.0000000000
1325670,11988952204396,btc_qm_engine,btc_leading_zeros,1.0000000000
1325671,11988952204500,btc_qm_engine,btc_sha256_elapsed_ns,981.0000000000
1325672,11988952204714,btc_qm_engine,btc_leading_zeros,3.0000000000
1325673,11988952205123,btc_qm_engine,btc_sha256_nonce,1828993202.0000000000
1325674,11988952205206,btc_qm_engine,btc_leading_zeros,2.0000000000
1325675,11988952205293,btc_qm_engine,btc_sha256_elapsed_ns,1105.0000000000
1325676,11988952205626,btc_qm_engine,btc_sha256_nonce,1167851715.0000000000
1325677,11988952205701,btc_qm_engine,btc_leading_zeros,0.0000000000
1325678,11988952205751,btc_qm_engine,btc_sha256_elapsed_ns,797.0000000000
1325679,11988952206176,btc_qm_engine,btc_sha256_elapsed_ns,941.0000000000
1325680,11988952206638,btc_qm_engine,btc_sha256_nonce,2544086075.0000000000
1325681,11988952206713,btc_qm_engine,btc_leading_zeros,0.0000000000
1325682,11988952206787,btc_qm_engine,btc_sha256_elapsed_ns,1091.0000000000
1325683,11988952206964,btc_qm_engine,btc_sha256_nonce,1970617938.0000000000
1325684,11988952207274,btc_qm_engine,btc_leading_zeros,1.0000000000
1325685,11988952207466,btc_qm_engine,btc_leading_zeros,1.0000000000
1325686,11988952207592,btc_qm_engine,btc_sha256_elapsed_ns,957.0000000000
1325687,11988952207792,btc_qm_engine,btc_sha256_nonce,783754589.0000000000
1325688,11988952207871,btc_qm_engine,btc_leading_zeros,2.0000000000
1325689,11988952207939,btc_qm_engine,btc_sha256_elapsed_ns,988.0000000000
1325690,11988952208189,btc_qm_engine,btc_sha256_nonce,3645554792.0000000000
1325691,11988952208265,btc_qm_engine,btc_leading_zeros,0.0000000000
1325692,11988952208402,btc_qm_engine,btc_sha256_elapsed_ns,1035.0000000000
1325693,11988952208783,btc_qm_engine,btc_sha256_elapsed_ns,1119.0000000000
1325694,11988952225682,btc_qm_engine,btc_sha256_elapsed_ns,1081.0000000000
1325695,11988952225807,btc_qm_engine,btc_sha256_nonce,257779503.0000000000
1325696,11988952225887,btc_qm_engine,btc_leading_zeros,0.0000000000
1325697,11988952225959,btc_qm_engine,btc_sha256_elapsed_ns,17702.0000000000
1325698,11988952226380,btc_qm_engine,btc_sha256_nonce,2184101767.0000000000
1325699,11988952226682,btc_qm_engine,btc_leading_zeros,2.0000000000
1325700,11988952226765,btc_qm_engine,btc_sha256_elapsed_ns,17340.0000000000
1325701,11988952226878,btc_qm_engine,btc_sha256_nonce,1049339234.0000000000
1325702,11988952227035,btc_qm_engine,btc_sha256_nonce,3589503156.0000000000
1325703,11988952227106,btc_qm_engine,btc_leading_zeros,2.0000000000
1325704,11988952227175,btc_qm_engine,btc_sha256_elapsed_ns,1079.0000000000
1325705,11988952227407,btc_qm_engine,btc_sha256_nonce,3218349457.0000000000
1325706,11988952227696,btc_qm_engine,btc_sha256_nonce,584557345.0000000000
1325707,11988952227770,btc_qm_engine,btc_leading_zeros,2.0000000000
1325708,11988952227951,btc_qm_engine,btc_sha256_elapsed_ns,1088.0000000000
1325709,11988952228226,btc_qm_engine,btc_leading_zeros,0.0000000000
1325710,11988952228580,btc_qm_engine,btc_sha256_nonce,3245436502.0000000000
1325711,11988952229186,btc_qm_engine,btc_sha256_elapsed_ns,719.0000000000
1325712,11988952229447,btc_qm_engine,btc_leading_zeros,1.0000000000
