seq,ts_ns,module,key,value
1350059,11769729204172,btc_qm_engine,btc_sha256_nonce,394000718.0000000000
1350060,11769729204279,btc_qm_engine,btc_sha256_nonce,2568555061.0000000000
1350061,11769729204532,btc_qm_engine,btc_sha256_nonce,3360042502.0000000000
1350062,11769729204614,btc_qm_engine,btc_leading_zeros,0.0000000000
1350063,11769729204749,btc_qm_engine,btc_leading_zeros,0.0000000000
1350064,11769729204817,btc_qm_engine,btc_sha256_elapsed_ns,1032.0000000000
1350065,11769729205068,btc_qm_engine,btc_sha256_elapsed_ns,1013.0000000000
1350066,11769729205434,btc_qm_engine,btc_leading_zeros,0.0000000000
1350067,11769729205640,btc_qm_engine,btc_sha256_elapsed_ns,565.0000000000
1350068,11769729206235,btc_qm_engine,btc_sha256_nonce,1516146375.0000000000
1350069,11769729206317,btc_qm_engine,btc_sha256_nonce,2981365405.0000000000
1350070,11769729206711,btc_qm_engine,btc_leading_zeros,0.0000000000
1350071,11769729207103,btc_qm_engine,btc_sha256_elapsed_ns,1054.0000000000
1350072,11769729208035,btc_qm_engine,btc_sha256_nonce,1368911454.0000000000
1350073,11769729208331,btc_qm_engine,btc_leading_zeros,0.0000000000
1350074,11769729208384,btc_qm_engine,btc_sha256_elapsed_ns,792.0000000000
1350075,11769729208585,btc_qm_engine,btc_leading_zeros,0.0000000000
1350076,11769729208651,btc_qm_engine,btc_sha256_elapsed_ns,1034.0000000000
1350077,11769729209665,btc_qm_engine,btc_sha256_nonce,2396215214.0000000000
1350078,11769729209748,btc_qm_engine,btc_leading_zeros,9.0000000000
1350079,11769729209817,btc_qm_engine,btc_sha256_elapsed_ns,1066.0000000000
1350080,11769729209905,btc_qm_engine,btc_sha256_nonce,823262851.0000000000
1350081,11769729209971,btc_qm_engine,btc_leading_zeros,0.0000000000
1350082,11769729210039,btc_qm_engine,btc_sha256_elapsed_ns,1042.0000000000
1350083,11769729210453,btc_qm_engine,btc_sha256_nonce,4251952902.0000000000
1350084,11769729210821,btc_qm_engine,btc_leading_zeros,0.0000000000
1350085,11769729210870,btc_qm_engine,btc_sha256_elapsed_ns,563.0000000000
1350086,11769729211130,btc_qm_engine,btc_sha256_nonce,2305786740.0000000000
1350087,11769729211205,btc_qm_engine,btc_leading_zeros,1.0000000000
1350088,11769729211274,btc_qm_engine,btc_sha256_elapsed_ns,1072.0000000000
1350089,11769729211626,btc_qm_engine,btc_sha256_nonce,923952371.0000000000
1350090,11769729211907,btc_qm_engine,btc_leading_zeros,0.0000000000
1350091,11769729211981,btc_qm_engine,btc_sha256_elapsed_ns,571.0000000000
1350092,11769729212072,btc_qm_engine,btc_sha256_nonce,2961860395.0000000000
1350093,11769729212386,btc_qm_engine,btc_leading_zeros,0.0000000000
1350094,11769729212464,btc_qm_engine,btc_sha256_elapsed_ns,1048.0000000000
1350095,11769729212713,btc_qm_engine,btc_sha256_nonce,1549541202.0000000000
1350096,11769729212887,btc_qm_engine,btc_leading_zeros,0.0000000000
1350097,11769729213109,btc_qm_engine,btc_sha256_elapsed_ns,565.0000000000
1350098,11769729213254,btc_qm_engine,btc_sha256_nonce,4133434352.0000000000
1350099,11769729213566,btc_qm_engine,btc_leading_zeros,0.0000000000
1350100,11769729213642,btc_qm_engine,btc_sha256_nonce,3860761559.0000000000
1350101,11769729213869,btc_qm_engine,btc_sha256_nonce,443935371.0000000000
1350102,11769729213975,btc_qm_engine,btc_leading_zeros,4.0000000000
1350103,11769729214109,btc_qm_engine,btc_sha256_elapsed_ns,999.0000000000
1350104,11769729214308,btc_qm_engine,btc_sha256_elapsed_ns,565.0000000000
1350105,11769729214405,btc_qm_engine,btc_leading_zeros,0.0000000000
1350106,11769729214811,btc_qm_engine,btc_sha256_elapsed_ns,953.0000000000
1350107,11769729215051,btc_qm_engine,btc_sha256_nonce,1955940761.0000000000
1350108,11769729215123,btc_qm_engine,btc_leading_zeros,0.0000000000
1350109,11769729215169,btc_qm_engine,btc_sha256_elapsed_ns,564.0000000000
1350110,11769729215612,btc_qm_engine,btc_sha256_nonce,1369156276.0000000000
1350111,11769729215683,btc_qm_engine,btc_leading_zeros,1.0000000000
1350112,11769729215752,btc_qm_engine,btc_sha256_elapsed_ns,1065.0000000000
1350113,11769729215899,btc_qm_engine,btc_sha256_nonce,990389632.0000000000
1350114,11769729215962,btc_qm_engine,btc_leading_zeros,0.0000000000
1350115,11769729216007,btc_qm_engine,btc_sha256_elapsed_ns,563.0000000000
1350116,11769729216110,btc_qm_engine,btc_sha256_nonce,956593734.0000000000
1350117,11769729216177,btc_qm_engine,btc_leading_zeros,1.0000000000
1350118,11769729216327,btc_qm_engine,btc_sha256_elapsed_ns,1049.0000000000
1350119,11769729216785,btc_qm_engine,btc_sha256_nonce,1687283104.0000000000
1350120,11769729216853,btc_qm_engine,btc_leading_zeros,0.0000000000
1350121,11769729216898,btc_qm_engine,btc_sha256_elapsed_ns,612.0000000000
1350122,11769729217123,btc_qm_engine,btc_sha256_nonce,937698752.0000000000
1350123,11769729217195,btc_qm_engine,btc_leading_zeros,1.0000000000
1350124,11769729217264,btc_qm_engine,btc_sha256_elapsed_ns,1122.0000000000
1350125,11769729217562,btc_qm_engine,btc_sha256_nonce,3259780084.0000000000
1350126,11769729217734,btc_qm_engine,btc_leading_zeros,1.0000000000
1350127,11769729218001,btc_qm_engine,btc_sha256_nonce,2212746231.0000000000
1350128,11769729218113,btc_qm_engine,btc_sha256_elapsed_ns,1051.0000000000
1350129,11769729218257,btc_qm_engine,btc_leading_zeros,0.0000000000
1350130,11769729218322,btc_qm_engine,btc_sha256_elapsed_ns,559.0000000000
1350131,11769729218507,btc_qm_engine,btc_sha256_nonce,2569083658.0000000000
1350132,11769729218584,btc_qm_engine,btc_leading_zeros,1.0000000000
1350133,11769729218660,btc_qm_engine,btc_sha256_elapsed_ns,981.0000000000
1350134,11769729219068,btc_qm_engine,btc_sha256_nonce,923257093.0000000000
1350135,11769729219140,btc_qm_engine,btc_leading_zeros,0.0000000000
1350136,11769729219196,btc_qm_engine,btc_sha256_elapsed_ns,565.0000000000
1350137,11769729219397,btc_qm_engine,btc_sha256_nonce,3512570879.0000000000
1350138,11769729219473,btc_qm_engine,btc_leading_zeros,0.0000000000
1350139,11769729219542,btc_qm_engine,btc_sha256_elapsed_ns,1036.0000000000
1350140,11769729219898,btc_qm_engine,btc_sha256_nonce,2568833883.0000000000
1350141,11769729220286,btc_qm_engine,btc_sha256_nonce,3713674713.0000000000
1350142,11769729220388,btc_qm_engine,btc_leading_zeros,0.0000000000
1350143,11769729220458,btc_qm_engine,btc_sha256_elapsed_ns,1029.0000000000
1350144,11769729220554,btc_qm_engine,btc_leading_zeros,0.0000000000
1350145,11769729220615,btc_qm_engine,btc_sha256_elapsed_ns,560.0000000000
1350146,11769729220797,btc_qm_engine,btc_sha256_nonce,326457718.0000000000
1350147,11769729220867,btc_qm_engine,btc_leading_zeros,1.0000000000
1350148,11769729220936,btc_qm_engine,btc_sha256_elapsed_ns,1009.0000000000
1350149,11769729221346,btc_qm_engine,btc_sha256_nonce,408278749.0000000000
1350150,11769729221416,btc_qm_engine,btc_leading_zeros,0.0000000000
1350151,11769729221460,btc_qm_engine,btc_sha256_elapsed_ns,563.0000000000
1350152,11769729221737,btc_qm_engine,btc_sha256_nonce,736753012.0000000000
1350153,11769729221812,btc_qm_engine,btc_leading_zeros,4.0000000000
1350154,11769729221880,btc_qm_engine,btc_sha256_elapsed_ns,1035.0000000000
1350155,11769729222243,btc_qm_engine,btc_sha256_nonce,923062380.0000000000
