seq,ts_ns,module,key,value
358325,1280942873285,btc_qm_engine,btc_sha256_elapsed_ns,1921.0000000000
358326,1280942873481,btc_qm_engine,btc_leading_zeros,3.0000000000
358327,1280942874134,btc_qm_engine,btc_sha256_elapsed_ns,2011.0000000000
358328,1280942875341,btc_qm_engine,btc_sha256_nonce,3350128837.0000000000
358329,1280942875460,btc_qm_engine,btc_leading_zeros,1.0000000000
358330,1280942875836,btc_qm_engine,btc_sha256_elapsed_ns,1345.0000000000
358331,1280942876635,btc_qm_engine,btc_sha256_nonce,3690406756.0000000000
358332,1280942877482,btc_qm_engine,btc_sha256_nonce,2724497663.0000000000
358333,1280942878712,btc_qm_engine,btc_sha256_nonce,2047926539.0000000000
358334,1280942878922,btc_qm_engine,btc_sha256_nonce,3937199900.0000000000
358335,1280942879051,btc_qm_engine,btc_leading_zeros,0.0000000000
358336,1280942879184,btc_qm_engine,btc_sha256_elapsed_ns,2023.0000000000
358337,1280942879479,btc_qm_engine,btc_leading_zeros,0.0000000000
358338,1280942879618,btc_qm_engine,btc_leading_zeros,0.0000000000
358339,1280942880340,btc_qm_engine,btc_sha256_elapsed_ns,1890.0000000000
358340,1280942880486,btc_qm_engine,btc_sha256_elapsed_ns,1997.0000000000
358341,1280942881538,btc_qm_engine,btc_sha256_nonce,1629209249.0000000000
358342,1280942881676,btc_qm_engine,btc_leading_zeros,2.0000000000
358343,1280942881804,btc_qm_engine,btc_sha256_elapsed_ns,1968.0000000000
358344,1280942882318,btc_qm_engine,btc_sha256_nonce,3613812336.0000000000
358345,1280942882614,btc_qm_engine,btc_sha256_nonce,3188348442.0000000000
358346,1280942883184,btc_qm_engine,btc_leading_zeros,0.0000000000
358347,1280942883539,btc_qm_engine,btc_sha256_nonce,1795006349.0000000000
358348,1280942883689,btc_qm_engine,btc_leading_zeros,0.0000000000
358349,1280942883819,btc_qm_engine,btc_sha256_elapsed_ns,2058.0000000000
358350,1280942884297,btc_qm_engine,btc_sha256_elapsed_ns,1962.0000000000
358351,1280942885385,btc_qm_engine,btc_leading_zeros,0.0000000000
358352,1280942885943,btc_qm_engine,btc_sha256_nonce,758496438.0000000000
358353,1280942886087,btc_qm_engine,btc_leading_zeros,0.0000000000
358354,1280942886213,btc_qm_engine,btc_sha256_elapsed_ns,1645.0000000000
358355,1280942887756,btc_qm_engine,btc_sha256_nonce,2930595474.0000000000
358356,1280942887895,btc_qm_engine,btc_leading_zeros,0.0000000000
358357,1280942888086,btc_qm_engine,btc_sha256_elapsed_ns,1842.0000000000
358358,1280942888599,btc_qm_engine,btc_sha256_nonce,1085114103.0000000000
358359,1280942888745,btc_qm_engine,btc_leading_zeros,1.0000000000
358360,1280942888892,btc_qm_engine,btc_sha256_elapsed_ns,1999.0000000000
358361,1280942889256,btc_qm_engine,btc_sha256_elapsed_ns,1965.0000000000
358362,1280942889820,btc_qm_engine,btc_leading_zeros,0.0000000000
358363,1280942890008,btc_qm_engine,btc_sha256_elapsed_ns,1806.0000000000
358364,1280942890979,btc_qm_engine,btc_sha256_nonce,722116613.0000000000
358365,1280942891106,btc_qm_engine,btc_leading_zeros,2.0000000000
358366,1280942892270,btc_qm_engine,btc_sha256_elapsed_ns,1722.0000000000
358367,1280942892707,btc_qm_engine,btc_sha256_elapsed_ns,1928.0000000000
358368,1280942893571,btc_qm_engine,btc_sha256_nonce,4132844718.0000000000
358369,1280942893824,btc_qm_engine,btc_sha256_nonce,3689780183.0000000000
358370,1280942894645,btc_qm_engine,btc_leading_zeros,0.0000000000
358371,1280942894779,btc_qm_engine,btc_sha256_elapsed_ns,1963.0000000000
358372,1280942895246,btc_qm_engine,btc_sha256_nonce,2020755821.0000000000
358373,1280942895407,btc_qm_engine,btc_leading_zeros,0.0000000000
358374,1280942896022,btc_qm_engine,btc_sha256_elapsed_ns,2086.0000000000
358375,1280942896734,btc_qm_engine,btc_sha256_nonce,310451180.0000000000
358376,1280942897074,btc_qm_engine,btc_sha256_nonce,1432894054.0000000000
358377,1280942897208,btc_qm_engine,btc_leading_zeros,0.0000000000
358378,1280942897456,btc_qm_engine,btc_leading_zeros,1.0000000000
358379,1280942898132,btc_qm_engine,btc_sha256_elapsed_ns,1998.0000000000
358380,1280942898313,btc_qm_engine,btc_sha256_elapsed_ns,1864.0000000000
358381,1280942898592,btc_qm_engine,btc_leading_zeros,0.0000000000
358382,1280942898790,btc_qm_engine,btc_sha256_elapsed_ns,1991.0000000000
358383,1280942899015,btc_qm_engine,btc_sha256_nonce,2443288530.0000000000
358384,1280942899199,btc_qm_engine,btc_leading_zeros,1.0000000000
358385,1280942899332,btc_qm_engine,btc_sha256_elapsed_ns,2009.0000000000
358386,1280942900549,btc_qm_engine,btc_sha256_nonce,2756248978.0000000000
358387,1280942900683,btc_qm_engine,btc_leading_zeros,2.0000000000
358388,1280942900837,btc_qm_engine,btc_sha256_elapsed_ns,2019.0000000000
358389,1280942901083,btc_qm_engine,btc_sha256_nonce,206332143.0000000000
358390,1280942901429,btc_qm_engine,btc_sha256_nonce,3487177313.0000000000
358391,1280942901841,btc_qm_engine,btc_sha256_nonce,44521981.0000000000
358392,1280942902141,btc_qm_engine,btc_leading_zeros,0.0000000000
358393,1280942902574,btc_qm_engine,btc_leading_zeros,4.0000000000
358394,1280942902727,btc_qm_engine,btc_sha256_elapsed_ns,2078.0000000000
358395,1280942903038,btc_qm_engine,btc_sha256_nonce,1469537909.0000000000
358396,1280942903333,btc_qm_engine,btc_sha256_nonce,311177586.0000000000
358397,1280942903688,btc_qm_engine,btc_sha256_elapsed_ns,9756.0000000000
358398,1280942904529,btc_qm_engine,btc_leading_zeros,4.0000000000
358399,1280942904906,btc_qm_engine,btc_sha256_nonce,4155286558.0000000000
358400,1280942905087,btc_qm_engine,btc_leading_zeros,2.0000000000
358401,1280942905211,btc_qm_engine,btc_sha256_elapsed_ns,1725.0000000000
358402,1280942906185,btc_qm_engine,btc_leading_zeros,4.0000000000
358403,1280942907700,btc_qm_engine,btc_leading_zeros,0.0000000000
358404,1280942907847,btc_qm_engine,btc_sha256_elapsed_ns,1942.0000000000
