seq,ts_ns,module,key,value
1373879,11487690193737,btc_qm_engine,btc_sha256_elapsed_ns,1094.0000000000
1373880,11487690193976,btc_qm_engine,btc_leading_zeros,0.0000000000
1373881,11487690194253,btc_qm_engine,btc_sha256_elapsed_ns,972.0000000000
1373882,11487690194656,btc_qm_engine,btc_sha256_nonce,3906128040.0000000000
1373883,11487690194730,btc_qm_engine,btc_leading_zeros,0.0000000000
1373884,11487690195105,btc_qm_engine,btc_sha256_nonce,166015072.0000000000
1373885,11487690195431,btc_qm_engine,btc_sha256_nonce,2244141713.0000000000
1373886,11487690195520,btc_qm_engine,btc_leading_zeros,0.0000000000
1373887,11487690195570,btc_qm_engine,btc_sha256_elapsed_ns,741.0000000000
1373888,11487690195756,btc_qm_engine,btc_sha256_elapsed_ns,885.0000000000
1373889,11487690196619,btc_qm_engine,btc_sha256_elapsed_ns,1129.0000000000
1373890,11487690197195,btc_qm_engine,btc_leading_zeros,3.0000000000
1373891,11487690197512,btc_qm_engine,btc_sha256_nonce,2870977498.0000000000
1373892,11487690197661,btc_qm_engine,btc_sha256_elapsed_ns,1070.0000000000
1373893,11487690197955,btc_qm_engine,btc_leading_zeros,1.0000000000
1373894,11487690198155,btc_qm_engine,btc_sha256_elapsed_ns,1034.0000000000
1373895,11487690198655,btc_qm_engine,btc_sha256_nonce,3905291925.0000000000
1373896,11487690198759,btc_qm_engine,btc_sha256_nonce,1802263160.0000000000
1373897,11487690199005,btc_qm_engine,btc_sha256_nonce,3131772868.0000000000
1373898,11487690199083,btc_qm_engine,btc_leading_zeros,0.0000000000
1373899,11487690199321,btc_qm_engine,btc_leading_zeros,0.0000000000
1373900,11487690199619,btc_qm_engine,btc_leading_zeros,0.0000000000
1373901,11487690199958,btc_qm_engine,btc_sha256_nonce,2408631561.0000000000
1373902,11487690200502,btc_qm_engine,btc_sha256_nonce,3852643786.0000000000
1373903,11487690200741,btc_qm_engine,btc_sha256_elapsed_ns,1125.0000000000
1373904,11487690200993,btc_qm_engine,btc_sha256_elapsed_ns,1090.0000000000
1373905,11487690201107,btc_qm_engine,btc_leading_zeros,2.0000000000
1373906,11487690201218,btc_qm_engine,btc_leading_zeros,1.0000000000
1373907,11487690201596,btc_qm_engine,btc_sha256_elapsed_ns,914.0000000000
1373908,11487690201973,btc_qm_engine,btc_sha256_elapsed_ns,965.0000000000
1373909,11487690202175,btc_qm_engine,btc_sha256_nonce,2312570330.0000000000
1373910,11487690202478,btc_qm_engine,btc_leading_zeros,3.0000000000
1373911,11487690202533,btc_qm_engine,btc_sha256_elapsed_ns,837.0000000000
1373912,11487690202647,btc_qm_engine,btc_sha256_nonce,1988941898.0000000000
1373913,11487690202862,btc_qm_engine,btc_leading_zeros,0.0000000000
1373914,11487690203215,btc_qm_engine,btc_sha256_elapsed_ns,1069.0000000000
1373915,11487690203382,btc_qm_engine,btc_sha256_nonce,1943040118.0000000000
1373916,11487690203611,btc_qm_engine,btc_sha256_nonce,1629098847.0000000000
1373917,11487690203682,btc_qm_engine,btc_leading_zeros,0.0000000000
1373918,11487690203813,btc_qm_engine,btc_sha256_nonce,3906274251.0000000000
1373919,11487690204119,btc_qm_engine,btc_sha256_elapsed_ns,1012.0000000000
1373920,11487690204309,btc_qm_engine,btc_leading_zeros,1.0000000000
1373921,11487690204408,btc_qm_engine,btc_sha256_elapsed_ns,1018.0000000000
1373922,11487690204617,btc_qm_engine,btc_sha256_elapsed_ns,962.0000000000
1373923,11487690204890,btc_qm_engine,btc_leading_zeros,0.0000000000
1373924,11487690205181,btc_qm_engine,btc_sha256_nonce,3750088165.0000000000
1373925,11487690205525,btc_qm_engine,btc_sha256_nonce,2565363932.0000000000
1373926,11487690205662,btc_qm_engine,btc_sha256_elapsed_ns,945.0000000000
1373927,11487690205890,btc_qm_engine,btc_sha256_nonce,74944037.0000000000
1373928,11487690206151,btc_qm_engine,btc_leading_zeros,0.0000000000
1373929,11487690206320,btc_qm_engine,btc_leading_zeros,0.0000000000
1373930,11487690206568,btc_qm_engine,btc_sha256_nonce,2850867878.0000000000
1373931,11487690206650,btc_qm_engine,btc_leading_zeros,1.0000000000
