run_id,timestamp_ns,event,value,md5_state,cycle
pqe_nx48_20260503T163423Z_77233,1777826063418317407,script_start,ibm_quantum_pqe_nx48_integrated.py,b9365c279198c614,C162
pqe_nx48_20260503T163423Z_77233,1777826063419203067,nx48_exploration_bias,0.901548,744459a3158d604c,C162
pqe_nx48_20260503T163423Z_77233,1777826063419232587,nx48_delta_nonce_scale,40.728973,44c38641c8486096,C162
pqe_nx48_20260503T163423Z_77233,1777826063419243049,nx48_source,csv,c0da5ae416e992c5,C162
pqe_nx48_20260503T163423Z_77233,1777826063420460854,pre_measure_alpha_prob,0.8535533905932737,6b0d8234b0e06bf1,C162
pqe_nx48_20260503T163423Z_77233,1777826063420485631,pre_measure_beta_prob,0.14644660940672624,aa8328ac6f8acd09,C162
pqe_nx48_20260503T163423Z_77233,1777826063420495827,pre_measure_method,qiskit_statevector,320a3b62305d8a01,C162
pqe_nx48_20260503T163423Z_77233,1777826063426785712,observables_count,6,e2a7f0c52699e3bb,C162
pqe_nx48_20260503T163423Z_77233,1777826063428599350,circuits_count,9,fde0f4352817a9f9,C162
pqe_nx48_20260503T163423Z_77233,1777826063428635461,pubs_count,54,267824a09a8c99b8,C162
pqe_nx48_20260503T163423Z_77233,1777826074888921990,job_type,ibm_quantum,1ec46d763608881d,C162
pqe_nx48_20260503T163423Z_77233,1777826074888989933,job_id,d7rni6sf3ras73b74psg,5e0c51799e709e15,C162
pqe_nx48_20260503T163423Z_77233,1777826074889012679,job_submitted,success,c82c751399f13ef6,C162
pqe_nx48_20260503T163423Z_77233,1777826074889068058,backend,ibm_fez,0cee15377f80affe,C162
pqe_nx48_20260503T163423Z_77233,1777826074889086470,shots,4096,8696eecb5645ddff,C162
pqe_nx48_20260503T163423Z_77233,1777826074899245559,script_end,success,132656fb5699857f,C162
