run_id,timestamp_ns,event,value,md5_state,cycle
pqe_nx48_20260503T163950Z_78786,1777826390241596696,script_start,ibm_quantum_pqe_nx48_integrated.py,e60bb4d936efcc77,C162
pqe_nx48_20260503T163950Z_78786,1777826390244796633,nx48_exploration_bias,0.901548,7120864331e5dfa5,C162
pqe_nx48_20260503T163950Z_78786,1777826390244909152,nx48_delta_nonce_scale,40.728973,55fead17516b0cae,C162
pqe_nx48_20260503T163950Z_78786,1777826390244958385,nx48_source,csv,6bf0061f83543c4c,C162
pqe_nx48_20260503T163950Z_78786,1777826390249413249,pre_measure_alpha_prob,0.8535533905932737,40701be7d715efc4,C162
pqe_nx48_20260503T163950Z_78786,1777826390249558408,pre_measure_beta_prob,0.14644660940672624,2ba6959f49e22400,C162
pqe_nx48_20260503T163950Z_78786,1777826390249617665,pre_measure_method,qiskit_statevector,8b2bb590bc7c9e99,C162
pqe_nx48_20260503T163950Z_78786,1777826390275984305,observables_count,6,52711008e77a915c,C162
pqe_nx48_20260503T163950Z_78786,1777826390287246791,circuits_count,9,a39ec303254941af,C162
pqe_nx48_20260503T163950Z_78786,1777826390287446119,pubs_count,54,70dcf316f6775837,C162
pqe_nx48_20260503T163950Z_78786,1777826402486373411,job_type,ibm_quantum,e948d4930d0a98f0,C162
pqe_nx48_20260503T163950Z_78786,1777826402486501413,job_id,d7rnkoiudops7395tt3g,bd7f1858cbc7c325,C162
pqe_nx48_20260503T163950Z_78786,1777826402486532236,job_submitted,success,dae60953d00b47bc,C162
pqe_nx48_20260503T163950Z_78786,1777826402486566232,backend,ibm_marrakesh,c2bd8ccc4827b44a,C162
pqe_nx48_20260503T163950Z_78786,1777826402486590514,shots,4096,8728d7d499b7bbb6,C162
pqe_nx48_20260503T163950Z_78786,1777826402495279646,script_end,success,e6b626055767cb12,C162
