run_id,timestamp_ns,event,value,md5_state,cycle
pqe_nx48_20260504T085142Z_59914,1777884702140715129,script_start,ibm_quantum_pqe_nx48_integrated.py,41418b4919921ae3,C164
pqe_nx48_20260504T085142Z_59914,1777884702140819249,mainnet_mode,True,d0c1746a133d8472,C164
pqe_nx48_20260504T085142Z_59914,1777884702140833213,mainnet_addresses,3,cc76426059208493,C164
pqe_nx48_20260504T085142Z_59914,1777884702140839906,mainnet_nonces,5,a4b687349ff03e92,C164
pqe_nx48_20260504T085142Z_59914,1777884702141819150,nx48_exploration_bias,0.901548,6bf24b858c910c76,C164
pqe_nx48_20260504T085142Z_59914,1777884702141847413,nx48_delta_nonce_scale,40.728973,407a21d2857855a0,C164
pqe_nx48_20260504T085142Z_59914,1777884702141856595,nx48_source,csv,59e2ee06379e22bc,C164
pqe_nx48_20260504T085142Z_59914,1777884702143122215,pre_measure_alpha_prob,0.8535533905932737,2807f6809209e972,C164
pqe_nx48_20260504T085142Z_59914,1777884702143148399,pre_measure_beta_prob,0.14644660940672624,7eddda1a7a29fa73,C164
pqe_nx48_20260504T085142Z_59914,1777884702143158726,pre_measure_method,qiskit_statevector,a2c0db6d1f28f61f,C164
pqe_nx48_20260504T085142Z_59914,1777884702148124088,observables_count,6,ac28c3713db3f400,C164
pqe_nx48_20260504T085142Z_59914,1777884704515985070,bitcoin_addresses_count,3,5b88409082558f37,C164
pqe_nx48_20260504T085142Z_59914,1777884704516057514,bitcoin_address_0,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,04d361eb75752b73,C164
pqe_nx48_20260504T085142Z_59914,1777884704516072389,bitcoin_value_0,5.46e-06,97b3ceb0e9de8e67,C164
pqe_nx48_20260504T085142Z_59914,1777884704516100801,bitcoin_address_1,39C7fxSzEACPjM78Z7xdPxhf7mKxJwvfMJ,6c567b0002478e3f,C164
pqe_nx48_20260504T085142Z_59914,1777884704516109960,bitcoin_value_1,3.14165962,8aa294c73b2a2dee,C164
pqe_nx48_20260504T085142Z_59914,1777884704516121718,bitcoin_address_2,bc1q0t8eppntxn3kaeh8a0v3frxrae4hl7qvewa8qg,80a4065db079dfb1,C164
pqe_nx48_20260504T085142Z_59914,1777884704516131846,bitcoin_value_2,0.0541233,016ce4cc733a25df,C164
pqe_nx48_20260504T085142Z_59914,1777884704521296362,mode,bitcoin_mainnet,8665ccba3fb8e1c8,C164
pqe_nx48_20260504T085142Z_59914,1777884704521326886,total_btc_value,3.19578838,27a46938d884045e,C164
pqe_nx48_20260504T085142Z_59914,1777884704521345980,circuits_count,15,64e905fdc5287b3e,C164
pqe_nx48_20260504T085142Z_59914,1777884704521540930,pubs_count,90,dcd2ec8f79d492c7,C164
pqe_nx48_20260504T085142Z_59914,1777884719972968728,job_type,ibm_quantum,b809472093220502,C164
pqe_nx48_20260504T085142Z_59914,1777884719973070822,job_id,d7s5sbst738s73cg9kbg,63bc3603120d7b9e,C164
pqe_nx48_20260504T085142Z_59914,1777884719973094445,job_submitted,success,fd873f3955f1d7c5,C164
pqe_nx48_20260504T085142Z_59914,1777884719973114806,backend,ibm_fez,5863d4ec9e34f25c,C164
pqe_nx48_20260504T085142Z_59914,1777884719973129809,shots,4096,2851116c3b2aa948,C164
pqe_nx48_20260504T085142Z_59914,1777884719985147010,script_end,success,f5e6c744db47221a,C164
