run_id,timestamp_ns,event,value,md5_state,cycle
pqe_nx48_20260503T170031Z_85241,1777827631458408208,script_start,ibm_quantum_pqe_nx48_integrated.py,a236a1d62bf115ff,C162
pqe_nx48_20260503T170031Z_85241,1777827631460344520,nx48_exploration_bias,0.901548,09fabd2989c18b3c,C162
pqe_nx48_20260503T170031Z_85241,1777827631460399226,nx48_delta_nonce_scale,40.728973,c3aa5acb352543f0,C162
pqe_nx48_20260503T170031Z_85241,1777827631460417917,nx48_source,csv,ae8d589d687e91da,C162
pqe_nx48_20260503T170031Z_85241,1777827631462615385,pre_measure_alpha_prob,0.8535533905932737,93932836b9413269,C162
pqe_nx48_20260503T170031Z_85241,1777827631462665765,pre_measure_beta_prob,0.14644660940672624,40e7ce4795895085,C162
pqe_nx48_20260503T170031Z_85241,1777827631462684335,pre_measure_method,qiskit_statevector,09cfc09740a849fd,C162
pqe_nx48_20260503T170031Z_85241,1777827631474663595,observables_count,6,86070cc776a162b9,C162
pqe_nx48_20260503T170031Z_85241,1777827631477702199,circuits_count,9,98c535dcec41f1fa,C162
pqe_nx48_20260503T170031Z_85241,1777827631477747459,pubs_count,54,d7d1e67f4d522267,C162
pqe_nx48_20260503T170031Z_85241,1777827643127686280,job_type,ibm_quantum,d222923542000d13,C162
pqe_nx48_20260503T170031Z_85241,1777827643127752662,job_id,d7rnuekf3ras73b756h0,e9e1bdf0010f8cfc,C162
pqe_nx48_20260503T170031Z_85241,1777827643127775846,job_submitted,success,6711f51bff2c7b93,C162
pqe_nx48_20260503T170031Z_85241,1777827643127793596,backend,ibm_fez,7d0e823406f7c427,C162
pqe_nx48_20260503T170031Z_85241,1777827643127808901,shots,4096,47881f9dea7dc40d,C162
pqe_nx48_20260503T170031Z_85241,1777827643137835560,script_end,success,8cdc926c012aec6c,C162
